message,actual_abuse_type,predicted_abuse_type,actual_fraud_subtype,predicted_fraud_subtype,predicted_severity,predicted_confidence
"Hey @CryptoKing, I can't believe you're still holding onto that loser stock! Everyone knows it's going to tank! Get with the program and join us on the winning side, or are you just too stubborn to see the light? Come on, let's make some real money together!",harassment,harassment,,,medium,0.85
🎉 Hey everyone! 🚀 Just had the best experience with our new tech setup guide! It’s so easy and they even have live support! Check it out here: [fake-link.com] and get your tech working like never before! 🔧💻 #TechRevolution 💥,spam,spam,,,medium,0.8
"Hey everyone! 🚀 I just started my own tech startup and we're looking for talented programmers to join our team! If you're interested in working from home and making some extra cash, DM me for more info! 💻💰",spam,spam,,,medium,0.7
"Hey everyone, I'm trying to set up my new PC and I keep getting locked out of my accounts. Could someone help me understand how to securely save my passwords? I've heard some people recommend using the same password across multiple sites for simplicity, but is that safe? Also, where can I find a good tutorial on setting up two-factor authentication?",fraud,,account_theft,,low,0.95
"Good evening, everyone! I hope you're all making progress with your studies today. For those who might be struggling with time management, I recommend breaking down your study sessions into focused 25-minute intervals, followed by a 5-minute break. This technique, known as the Pomodoro Technique, can significantly enhance productivity and reduce burnout. If anyone needs further assistance or resources, feel free to reach out. Best of luck!",,,,,low,0.95
"Hey there! It's so cool you joined our server. I noticed you haven't really talked much yet. Don't worry, I'm sure you'll fit in eventually... if you can handle it. 😜",harassment,harassment,,,medium,0.85
"Hey everyone, I've been tracking the recent movements in the ETH/USDT pair and noticed some interesting patterns forming on the 4-hour chart. It looks like we might see a bullish breakout soon if the RSI continues to climb above 60. For those holding ETH, it might be a good time to tighten stop losses or consider trailing stops to lock in profits while still allowing for upside potential. Let me know your thoughts!",,,,,low,0.9
🚨 BREAKING: Insiders say the market's about to explode! Get in on the ground floor now. Exclusive analysis and stock picks here: [Fake Link] Don't miss out — act fast!,fraud,fraud,fake_links,fake_links,high,0.85
"Hello everyone,

We have received several reports that some of you may be experiencing issues with your devices. Our certified tech support team is available 24/7 to assist you with any setup or troubleshooting needs. Please visit our official support site at [support-tech.com](http://support-tech.com) to schedule a free consultation.

Thank you for choosing us for your tech support needs!

Best regards,
Tech Support Team",spam,fraud,,phishing,high,0.85
"User: I understand you're trying to learn the violin, but perhaps you should reconsider if you can't even hold the bow correctly. It's not just about talent; it's about having the basic skills to start. Maybe try something simpler first.",harassment,harassment,,,medium,0.85
